Time,day,hour,PTotal,temp,precipitation,wind_speed,wind_dir,rel_humidity,class(fcm),,
1/25/2019 14:00,1/25/2019,14:00,85.2890625,23,0,2.8,318,55,2,training,2
1/25/2019 15:00,1/25/2019,15:00,53.90820313,22,0,3.2,316,53,2,training,2
1/25/2019 16:00,1/25/2019,16:00,26.66210938,20.9,0,3,318,61,2,training,2
1/25/2019 17:00,1/25/2019,17:00,3.540039063,19.7,0,2.6,349,68,2,training,2
1/26/2019 6:00,1/26/2019,6:00,0.424804688,12.1,0,0.6,40,99,2,training,2
1/26/2019 7:00,1/26/2019,7:00,19.84082031,12.4,0,1.2,49,97,2,training,2
1/26/2019 8:00,1/26/2019,8:00,56.8515625,13.9,0,1,26,88,2,training,2
1/26/2019 9:00,1/26/2019,9:00,95.85253906,15.5,0,2.4,20,73,2,training,2
1/26/2019 10:00,1/26/2019,10:00,115.1611328,17.5,0,2.1,19,60,2,training,2
1/26/2019 11:00,1/26/2019,11:00,136.0146484,19.6,0,1.8,344,50,2,training,2
1/26/2019 12:00,1/26/2019,12:00,135.3544922,20.1,0,3.5,345,49,2,training,2
1/26/2019 13:00,1/26/2019,13:00,108.1367188,20.3,0,4.7,339,50,2,training,2
1/26/2019 14:00,1/26/2019,14:00,79.44921875,20.1,0,3.9,326,52,2,training,2
1/26/2019 15:00,1/26/2019,15:00,35.44140625,18.6,0,4.9,338,54,2,training,2
1/26/2019 16:00,1/26/2019,16:00,16.69238281,18.2,0,3.6,340,54,2,training,2
1/26/2019 17:00,1/26/2019,17:00,2.1640625,17.1,0,3.4,346,58,2,training,2
1/27/2019 6:00,1/27/2019,6:00,0.036132813,13.6,0,1.2,11,69,3,training,2
1/27/2019 7:00,1/27/2019,7:00,6.516601563,13.5,0,1.3,19,69,3,training,2
1/27/2019 8:00,1/27/2019,8:00,23.38574219,13.9,0,1.6,8,67,3,training,2
1/27/2019 9:00,1/27/2019,9:00,41.63085938,14.6,0,2.2,19,63,3,training,2
1/27/2019 10:00,1/27/2019,10:00,74.92578125,15.3,0,2.4,354,61,3,training,2
1/27/2019 11:00,1/27/2019,11:00,122.5429688,16.6,0,2.4,349,58,3,training,2
1/27/2019 12:00,1/27/2019,12:00,124.7041016,18.4,0,2.3,6,54,3,training,2
1/27/2019 13:00,1/27/2019,13:00,111.9121094,19.6,0,1.8,352,51,3,training,2
1/27/2019 14:00,1/27/2019,14:00,91.92578125,20.4,0,1.5,5,54,3,training,2
1/27/2019 15:00,1/27/2019,15:00,63.17382813,20.9,0,1.5,320,54,3,training,2
1/27/2019 16:00,1/27/2019,16:00,28.89257813,20.5,0,2.3,317,56,3,training,2
1/27/2019 17:00,1/27/2019,17:00,3.364257813,19,0,2.8,321,61,3,training,2
1/28/2019 6:00,1/28/2019,6:00,0.411132813,11.7,0,0.2,0,99,2,training,2
1/28/2019 7:00,1/28/2019,7:00,18.54394531,11.8,0,0.3,64,99,2,training,2
1/28/2019 8:00,1/28/2019,8:00,55.99804688,13.7,0,0.4,16,92,2,training,2
1/28/2019 9:00,1/28/2019,9:00,94.86328125,17.2,0,0.9,33,73,2,training,2
1/28/2019 10:00,1/28/2019,10:00,120.8691406,19.5,0,0.7,312,66,2,training,2
1/28/2019 11:00,1/28/2019,11:00,134.9638672,20.3,0,1.3,316,61,2,training,2
1/28/2019 12:00,1/28/2019,12:00,126.1611328,22.3,0,1.5,289,53,2,training,2
1/28/2019 13:00,1/28/2019,13:00,108.7490234,23.1,0,1.9,269,44,2,training,2
1/28/2019 14:00,1/28/2019,14:00,74.42089844,23.2,0,1.4,255,39,2,training,2
1/28/2019 15:00,1/28/2019,15:00,47.75976563,21.9,0,2.9,319,57,2,training,2
1/28/2019 16:00,1/28/2019,16:00,18.79589844,21.8,0,2,344,50,2,training,2
1/28/2019 17:00,1/28/2019,17:00,2.90625,20.6,0,2.8,332,58,2,training,2
1/29/2019 6:00,1/29/2019,6:00,0.741210938,13.6,0,0.9,340,87,2,training,2
1/29/2019 7:00,1/29/2019,7:00,15.05664063,13.3,0,1,7,89,2,training,2
1/29/2019 8:00,1/29/2019,8:00,31.06640625,14.1,0,0.7,4,91,2,training,2
1/29/2019 9:00,1/29/2019,9:00,70.82226563,17.7,0,1,49,68,2,training,2
1/29/2019 10:00,1/29/2019,10:00,124.1787109,19.7,0,1.9,353,55,2,training,2
1/29/2019 11:00,1/29/2019,11:00,132.4570313,21.1,0,1.8,309,56,2,training,2
1/29/2019 12:00,1/29/2019,12:00,134.2265625,22.5,0,2.3,312,46,2,training,2
1/29/2019 13:00,1/29/2019,13:00,124.4863281,23.6,0,2.9,314,42,2,training,2
1/29/2019 14:00,1/29/2019,14:00,97.83789063,23,0,3.1,321,54,2,training,2
1/29/2019 15:00,1/29/2019,15:00,63.6484375,22.4,0,3,312,57,2,training,2
1/29/2019 16:00,1/29/2019,16:00,27.58300781,21.7,0,2.8,326,61,2,training,2
1/29/2019 17:00,1/29/2019,17:00,3.676757813,20.7,0,1.6,312,70,2,training,2
1/30/2019 6:00,1/30/2019,6:00,0.375,14.7,0,0,0,99,2,testing,1
1/30/2019 7:00,1/30/2019,7:00,22.73828125,15,0,0.5,56,99,2,testing,1
1/30/2019 8:00,1/30/2019,8:00,60.01464844,15.4,0,1.5,357,99,2,testing,1
1/30/2019 9:00,1/30/2019,9:00,87.53027344,16.6,0,2.2,354,99,2,testing,1
1/30/2019 10:00,1/30/2019,10:00,120.2363281,19.3,0,1.4,360,82,2,testing,1
1/30/2019 11:00,1/30/2019,11:00,134.2451172,21.4,0,1.4,293,71,2,testing,1
1/30/2019 12:00,1/30/2019,12:00,134.3388672,23.2,0,0.9,324,55,2,testing,1
1/30/2019 13:00,1/30/2019,13:00,124.3720703,24.3,0,2,351,48,2,testing,1
1/30/2019 14:00,1/30/2019,14:00,103.7177734,25.4,0,2.8,340,42,2,testing,1
1/30/2019 15:00,1/30/2019,15:00,79.86230469,25.3,0,4,355,42,2,testing,1
1/30/2019 16:00,1/30/2019,16:00,36.36035156,25.1,0,3.1,339,38,2,testing,1
1/30/2019 17:00,1/30/2019,17:00,6.868164063,24.1,0,2.9,340,46,2,testing,1
1/31/2019 6:00,1/31/2019,6:00,0.310546875,17.2,0,2,78,78,2,training,2
1/31/2019 7:00,1/31/2019,7:00,17.36914063,18.2,0,1.4,273,73,2,training,2
1/31/2019 8:00,1/31/2019,8:00,60.65722656,20.5,0,0.8,20,61,2,training,2
1/31/2019 9:00,1/31/2019,9:00,64.00292969,23,0,0.3,32,51,2,training,2
1/31/2019 10:00,1/31/2019,10:00,71.34082031,24.5,0,0.9,352,47,2,training,2
1/31/2019 11:00,1/31/2019,11:00,109.8056641,25.4,0,0.7,39,43,2,training,2
1/31/2019 12:00,1/31/2019,12:00,133.7929688,27.2,0,0.8,347,39,2,training,2
1/31/2019 13:00,1/31/2019,13:00,120.2871094,28.4,0,2,290,36,2,training,2
1/31/2019 14:00,1/31/2019,14:00,103.9560547,28.9,0,2,340,33,2,training,2
1/31/2019 15:00,1/31/2019,15:00,70.42089844,28,0,3.7,333,41,2,training,2
1/31/2019 16:00,1/31/2019,16:00,27.98925781,25.9,0,4.3,341,55,2,training,2
1/31/2019 17:00,1/31/2019,17:00,2.779296875,25.3,0,4.1,347,53,2,training,2
2/1/2019 6:00,2/1/2019,6:00,0.283203125,14.5,0,2,345,85,3,training,2
2/1/2019 7:00,2/1/2019,7:00,8.455078125,14.6,0,1.4,354,83,3,training,2
2/1/2019 8:00,2/1/2019,8:00,37.92871094,15,0,2.2,348,80,3,training,2
2/1/2019 9:00,2/1/2019,9:00,75.77246094,16,0,2.7,1,75,3,training,2
2/1/2019 10:00,2/1/2019,10:00,104.1494141,16.5,0,2.7,3,72,3,training,2
2/1/2019 11:00,2/1/2019,11:00,102.2265625,17.4,0,3.1,353,68,3,training,2
