id,cluster,voltage_ab,voltage_bc,voltage_ca,current_ab,current_bc,current_ca, real_power_ab, real_power_bc, real_power_ca,apparent_power_ab,apparent_power_bc,apparent_power_ca,reactive_power_ab,reactive_power_bc,reactive_power_ca,frequency,power_factor,real_power,apparent_power,accumulate_consumption,duration_consumption,inserted_at
46,1,219.73,219.01,219.7,60,60,65,4.5,5,9.5,13.5,13,14.5,-12.5,-12,-11,60,-0.48,19.5,41.5,8372.5,6,5/9/2017 20:00
47,2,219.77,219,219.7,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,11996.8,1.92,5/9/2017 20:00
48,3,109.88,109.55,109.96,46,40,36,0.8,1.8,0.6,4.8,4.6,4,-4.6,-4.2,-4,60,-0.265,3.6,13.4,2194.2,1.2,5/9/2017 20:00
49,1,219.52,218.76,219.22,60,60,65,4.5,5.5,9.5,13.5,13,14.5,-12.5,-11.5,-10.5,60,-0.497,20,40.5,8376,3.5,5/9/2017 20:15
50,2,219.56,218.63,219.25,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,11998.1,1.28,5/9/2017 20:15
51,3,109.73,109.49,109.73,44,38,36,0.8,1.2,1,4.8,4.2,4,-4.6,-4,-3.8,60,-0.258,3.4,13.2,2194.8,0.6,5/9/2017 20:15
52,1,220.12,219.24,219.73,60,60,65,5,5.5,10,13.5,13,14.5,-12.5,-11.5,-10.5,60,-0.518,21,41,8382.5,6.5,5/9/2017 20:30
53,2,219.04,218.07,218.58,38.4,38.4,38.4,1.92,1.28,1.92,8.96,8.96,8.96,-8.96,-8.96,-8.96,60,-0.232,6.4,27.52,12000.6,2.56,5/9/2017 20:30
54,3,110.14,109.74,110.06,44,40,36,0.8,1.2,0.6,4.8,4.4,4,-4.6,-4.2,-4,60,-0.223,3,13.4,2196,1.2,5/9/2017 20:30
55,1,220.21,219.35,219.85,60,60,50,3.5,4.5,4.5,13,13,11.5,-12.5,-12,-10.5,60,-0.337,12.5,38,8385,2.5,5/9/2017 20:45
56,2,220.39,219.32,220.16,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.32,8.96,-8.32,-8.32,-8.96,60,-0.263,7.04,27.52,12001.9,1.28,5/9/2017 20:45
57,3,109.86,109.46,109.86,44,42,36,0.8,1.6,1.2,4.8,4.4,4,-4.6,-4.2,-3.8,60,-0.29,3.8,13.4,2196.6,0.6,5/9/2017 20:45
58,1,219.82,218.98,219.72,60,60,55,4.5,5,5.5,13,13,12,-12.5,-12,-11,60,-0.4,15.5,39,8391,6,5/9/2017 21:00
59,2,219.78,218.79,219.6,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.263,7.04,27.52,12003.8,1.92,5/9/2017 21:00
60,3,110.1,109.63,110.03,42,42,34,1,1.6,0.8,4.6,4.4,3.8,-4.6,-4.2,-3.8,60,-0.277,3.6,13,2197.8,1.2,5/9/2017 21:00
61,1,219.85,218.84,219.63,60,60,55,4,4.5,4.5,13,13,12,-12.5,-12,-11,60,-0.345,13,38.5,8393.5,2.5,5/9/2017 21:15
62,2,219.8,218.64,219.44,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.268,7.04,27.52,12005.1,1.28,5/9/2017 21:15
63,3,110.05,109.47,109.89,44,40,36,0.8,1.2,1.6,4.8,4.2,4,-4.6,-4,-3.6,60,-0.303,4,13.2,2198.4,0.6,5/9/2017 21:15
64,1,220.06,219.1,219.98,60,60,55,4,4.5,4.5,13,13,12,-12.5,-12,-11,60,-0.358,13.5,38.5,8398.5,5,5/9/2017 21:30
65,2,220.08,219.08,219.97,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,12007.7,2.56,5/9/2017 21:30
66,3,110.16,109.67,110.16,44,40,36,0.8,1,0.6,4.8,4.4,4,-4.6,-4.2,-4,60,-0.215,2.8,13.2,2199.6,1.2,5/9/2017 21:30
67,1,219.95,219.15,219.89,60,60,55,5.5,6.5,6.5,13.5,13.5,12.5,-12,-11.5,-10.5,60,-0.493,19.5,39.5,8401.5,3,5/9/2017 21:45
68,2,220.26,219.41,220.17,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,12009,1.28,5/9/2017 21:45
69,3,110.05,109.6,110.01,44,40,38,0.8,1.2,1.4,4.8,4.4,4.2,-4.6,-4.2,-4,60,-0.27,3.6,13.4,2200.2,0.6,5/9/2017 21:45
70,1,219.59,218.74,219.32,60,60,65,4.5,6,9.5,13,13,14.5,-12.5,-11.5,-10.5,60,-0.503,20.5,40.5,8407.5,6,5/9/2017 22:00
71,2,219.4,218.4,219.14,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.32,8.96,-8.96,-8.32,-8.96,60,-0.257,7.04,27.52,12011.5,2.56,5/9/2017 22:00
72,3,109.6,109.28,109.54,44,40,40,0.8,1,2.2,4.8,4.2,4.4,-4.6,-4.2,-3.8,60,-0.336,4.4,13.4,2201.4,1.2,5/9/2017 22:00
73,1,219.7,218.7,219.46,60,60,65,3.5,6.5,8.5,13,13.5,14,-12.5,-11.5,-11,60,-0.466,19,40.5,8411,3.5,5/9/2017 22:15
74,2,219.51,218.48,219.27,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.255,7.04,27.52,12012.8,1.28,5/9/2017 22:15
75,3,109.81,109.37,109.76,44,40,40,0.8,1,2.4,4.8,4.4,4.4,-4.6,-4.2,-3.6,60,-0.337,4.4,13.4,2202,0.6,5/9/2017 22:15
76,1,218.23,217.21,217.96,60,65,55,5,7.5,5.5,13,14,12,-12,-11.5,-10.5,60,-0.471,18.5,39,8416.5,5.5,5/9/2017 22:30
77,2,218.17,217.17,218.02,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.261,7.04,27.52,12014.7,1.92,5/9/2017 22:30
78,3,109.05,108.54,108.99,42,40,36,0.6,1.2,1.8,4.4,4.2,4,-4.4,-4,-3.6,60,-0.299,3.8,12.8,2203.4,1.4,5/9/2017 22:30
79,1,217.07,216.14,216.88,60,65,60,4.5,8,9,13,14,14,-12,-11.5,-10.5,60,-0.528,21.5,41,8420,3.5,5/9/2017 22:45
